,Title,Website,Email,Region
24,World Bank Group,http://www.worldbank.org/,canstey@worldbank.org,Americas
25,Asian and Pacific Center for Transfer of Technology,http://www.apctt.org/,basab@apctt.org,Asia
26,Asian Development Bank,http://www.adb.org/,adb@adb.org,Asia
27,Asian Productivity Organization,www.apo-tokyo.org/,apo@apo-tokto.org,Asia
28,Asia-Pacific Economic Cooperation,http://www.apecsec.org.sg/,info@mail.apecsec.org.sg,Asia
29,Asia Pacific Rim Electricity Cooperation,http://www.terrawatts.com/aeeng.html,APREC,Asia
30,Association of Southeast Asian Networks,http://www.aseansec.org/%20,,Asia
31,Colombo Plan for Co-operative Economic and Social development in Asia and the Pacific,http://www.colombo-plan.org/,http://www.colombo-plan.org/,Asia
32,Japan Institute of International Affairs,http://www.jiia.or.jp/,info@jiia.or.jp,Asia
33,Secretariat of the Pacific Community,http://www.spc.int/corp/,spc@spc.int,Asia
34,South Asian Association for Regional Cooperation,http://www.saarc-sec.org/,saarc@saarc-sec.org,Asia
35,South Pacific Forum Secretariat,http://www.forumsec.org.fj/,info@forumsec.org.fj,Asia
36,United Nations Economic and Social Commission for Asia and the Pacific,http://www.unescap.org/,webmaster@unescap.org,Asia
37,United Nations Economic and Social Commssion for Western Asia,http://www.escwa.un.org/index.asp%20,,Middle East/Africa
38,Abu Dhabi Fund For Development,http://www.adfd.ae/pre-home-en.htm,opadfdmn@emirates.net.ae,Middle East/Africa
39,African Development Bank Group,http://www.afdb.org/,afdb@afdb.org,Middle East/Africa
40,Environmental Law Institute - Africa Program,http://www.eli.org/Program_Areas/africa.cfm,bruch@eli.org,Middle East/Africa
41,African Export-Import Bank,http://www.afreximbank.com/,mail@afreximbank.com,Middle East/Africa
42,African Project Development Facility,http://www.gmfield.info/English/KOs/A/KO_000029835.htm,http://www.gmfield.info/English/KOs/A/KO_000029835.htm,Middle East/Africa
43,Arab Bank for Economic Development in Africa,http://www.badea.org/,badea@badea.org,Middle East/Africa
44,Arab Maghreb Union,http://www.maghrebarabe.org/,sg.uma@maghrebarabe.org,Middle East/Africa
45,Arab Planning Institute - Kuwait,http://www.arab-api.org/,api@api.org.kw,Middle East/Africa
46,Central Bank of West African States,http://www.bceao.int,webmaster@bceao.int,Middle East/Africa
47,Common Market For Eastern And Southern Africa,http://www.comesa.int/,comesa@comesa.int,Middle East/Africa
48,Gulf Cooperation Council,http://en.wikipedia.org/wiki/Gulf_Cooperation_Council,,Middle East/Africa
49,Council of the Entente (Conseil de l'Entente),http://en.wikipedia.org/wiki/Council_of_the_Entente,,Middle East/Africa
50,Economic Community of West African States,http://www.ecowas.int/,info@ecowasmail.net,Middle East/Africa
51,Economic Cooperation Organization,http://www.ecosecretariat.org/,eco.org@neda.net,Middle East/Africa
52,Enterprise Support Services For Africa,http://www.enterprisesa.com/za/,jhessa@ncs.com.gh,Middle East/Africa
53,European Institute for Research on Mediterranean and Euro-Arab Cooperation,http://www.medea.be/,medea@medea.be,Middle East/Africa
54,"Fund For Co-Operation, Compensation and Development",http://www.sec.ecowas.int/sitecedeao/english/cres03112000.htm,,Middle East/Africa
55,Inter-Arab Invesment Guarantee Corporation,http://www.iaigc.org/,iai@ncc.moc.kx,Middle East/Africa
56,Kuwait Fund For Arab Economic Development,http://www.kuwait-fund.org/,info@kuwait-fund.org,Middle East/Africa
57,League of Arab States,http://www.arableagueonline.org/las/english/level1_en.jsp?level1_id=1%20,info@leagueofarabstates.org,Middle East/Africa
58,Niger Basin Authority,http://en.wikipedia.org/wiki/Niger_Basin_Authority,,Middle East/Africa
59,Organization of African Unity,http://www.oau-oau.org/,http://www.oau-oau.org,Middle East/Africa
60,Organization of Arab Petroleum Exporting Countries,http://www.oapecorg.org/,oapec@quailitynet.net,Middle East/Africa
61,Saudi Fund For Development,http://www.sfd.gov.sa/,info@sfd.gov.sa,Middle East/Africa
62,Sub-Sahara Africa,http://www.ifc.org/,abn@ifc.org,Middle East/Africa
63,Swisscontact in Eastern and Sothern Africa,http://www.swisscontact.org/,sc@swisscontact.ch,Middle East/Africa
64,United Nations African Institute for Economic Development and Planning,http://www.unidep.org/,,Middle East/Africa
65,West African Development Bank,http://www.boad.org/,boadsiege@boad.org,Middle East/Africa
66,West African Power Pool,wapp/index.shtml,,Middle East/Africa
67,West   African Rural Foundation,http://www.idrc.ca/en/ev-119943-201_104109-1-IDRC_ADM_INFO.html,warfedi@cyg.sn,Middle East/Africa
